bn:00014445n	[wn2020:02964806n, wn:02933112n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00004653n	[wn:02423589n, wn2020:02448090n]	antidorcas_euchore	[A South African gazelle noted for springing lightly into the air]
bn:00004653n	[wn:02423589n, wn2020:02448090n]	springbuck	[]
bn:00004653n	[wn:02423589n, wn2020:02448090n]	antidorcas_marsupialis	[]
bn:00004653n	[wn:02423589n, wn2020:02448090n]	springbok	[]
bn:00028786n	[wn:03242713n, wn2020:03277535n]	drive	[]
bn:00028786n	[wn:03242713n, wn2020:03277535n]	parkway	[A wide scenic road planted with trees]
bn:00028813n	[wn:03245271n, wn2020:03280129n]	drogue_parachute	[A parachute used to decelerate an object that is moving rapidly]
bn:00028813n	[wn:03245271n, wn2020:03280129n]	drogue	[]
bn:00028813n	[wn:03245271n, wn2020:03280129n]	drogue_chute	[]
bn:00028816n	[wn:01717860n, wn2020:01732501n]	dromaeosaur	[A kind of maniraptor]
bn:00028820n	[wn:03245553n, wn2020:03280411n]	dronabinol	[Psychoactive substance present in marijuana; used therapeutically to control nausea associated with cancer therapy]
bn:00028824n	[wn2020:14044462n, wn:13905572n]	sag	[]
bn:00028824n	[wn2020:14044462n, wn:13905572n]	droop	[A shape that sags]
bn:00004666n	[wn2020:15182195n, wn:15037664n]	antigenic_determinant	[]
bn:00004666n	[wn2020:15182195n, wn:15037664n]	determinant	[]
bn:00004666n	[wn2020:15182195n, wn:15037664n]	epitope	[The site on the surface of an antigen molecule to which an antibody attaches itself]
bn:00028828n	[wn2020:03281312n, wn:03246454n]	drop_curtain	[]
bn:00028828n	[wn2020:03281312n, wn:03246454n]	drop_cloth	[]
bn:00028828n	[wn2020:03281312n, wn:03246454n]	drop	[A curtain that can be lowered and raised onto a stage from the flies; often used as background scenery]
bn:00004658n	[wn:01156070n, wn2020:01161522n]	antifeminism	[Activity indicative of belief in the superiority of men over women]
bn:00004658n	[wn:01156070n, wn2020:01161522n]	male_chauvinism	[]
bn:00004658n	[wn:01156070n, wn2020:01161522n]	chauvinism	[]
bn:00028821n	[wn2020:02228837n, wn:02207179n]	drone	[Stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen]
bn:00028819n	[wn2020:01530704n, wn:01519873n]	emu	[]
bn:00028819n	[wn2020:01530704n, wn:01519873n]	dromaius_novaehollandiae	[]
bn:00028819n	[wn2020:01530704n, wn:01519873n]	emu_novaehollandiae	[Large Australian flightless bird similar to the ostrich but smaller]
bn:00004710n	[wn:07502669n, wn2020:07594701n]	aversion	[]
bn:00004710n	[wn:07502669n, wn2020:07594701n]	antipathy	[]
bn:00004710n	[wn:07502669n, wn2020:07594701n]	distaste	[A feeling of intense dislike]
bn:00028843n	[wn:07691091n, wn2020:07784169n]	drop_scone	[]
bn:00028843n	[wn:07691091n, wn2020:07784169n]	griddlecake	[]
bn:00028843n	[wn:07691091n, wn2020:07784169n]	scotch_pancake	[A scone made by dropping a spoonful of batter on a griddle]
bn:00004692n	[wn2020:03242962n, wn:03208229n]	antimicrobic	[]
bn:00004692n	[wn2020:03242962n, wn:03208229n]	antimicrobial	[An agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease]
bn:00004692n	[wn2020:03242962n, wn:03208229n]	disinfectant	[]
bn:00004692n	[wn2020:03242962n, wn:03208229n]	germicide	[]
bn:00004706n	[wn:06724437n, wn2020:06791197n]	antinomy	[A contradiction between two statements that seem equally reasonable]
bn:00004716n	[wn2020:07137868n, wn:07048782n]	antiphony	[Alternate (responsive) singing by a choir in two parts]
bn:00004715n	[wn:07034516n, wn2020:07123337n]	antiphonal	[Bound collection of antiphons]
bn:00004715n	[wn:07034516n, wn2020:07123337n]	antiphonary	[]
bn:00028852n	[wn2020:14997628n, wn:14854847n]	droppings	[]
bn:00028852n	[wn2020:14997628n, wn:14854847n]	dung	[]
bn:00028852n	[wn2020:14997628n, wn:14854847n]	muck	[Fecal matter of animals]
bn:00004714n	[wn2020:07122048n, wn:07033245n]	antiphony	[A verse or song to be chanted or sung in response]
bn:00004714n	[wn2020:07122048n, wn:07033245n]	antiphon	[]
bn:00004730n	[wn2020:10488700n, wn:10376890n]	antique	[An elderly man]
bn:00004730n	[wn2020:10488700n, wn:10376890n]	old_geezer	[]
bn:00004730n	[wn2020:10488700n, wn:10376890n]	gaffer	[]
bn:00004730n	[wn2020:10488700n, wn:10376890n]	oldtimer	[]
bn:00004730n	[wn2020:10488700n, wn:10376890n]	old-timer	[]
bn:00004727n	[wn:02723595n, wn2020:02753914n]	febrifuge	[Any medicine that lowers body temperature to prevent or alleviate fever]
bn:00004727n	[wn:02723595n, wn2020:02753914n]	antipyretic	[]
bn:00028861n	[wn2020:14725317n, wn:14583670n]	impurity	[]
bn:00028861n	[wn2020:14725317n, wn:14583670n]	dross	[Worthless or dangerous material that should be removed]
bn:00028865n	[wn:08184335n, wn2020:08281236n]	drove	[A group of animals (a herd or flock) moving together]
bn:00004720n	[wn:08631750n, wn2020:08731474n]	antipodes	[Any two places or regions on diametrically opposite sides of the Earth]
bn:00028867n	[wn2020:03282353n, wn:03247495n]	drove	[]
bn:00028867n	[wn2020:03282353n, wn:03247495n]	drove_chisel	[A stonemason's chisel with a broad edge for dressing stone]
bn:00004731n	[wn2020:02754073n, wn:02723754n]	antique	[Any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity]
bn:00004728n	[wn2020:09908571n, wn:09797606n]	archaist	[An expert or collector of antiquities]
bn:00004728n	[wn2020:09908571n, wn:09797606n]	antiquarian	[]
bn:00004728n	[wn2020:09908571n, wn:09797606n]	antiquary	[]
bn:00028870n	[wn:10154601n, wn2020:10266144n]	hack	[]
bn:00028870n	[wn:10154601n, wn2020:10266144n]	drudge	[]
bn:00028870n	[wn:10154601n, wn2020:10266144n]	hacker	[One who works hard at boring tasks]
bn:00004694n	[wn:14628668n, wn2020:14770223n]	atomic_number_51	[A metallic element having four allotropic forms; used in a wide variety of alloys; found in stibnite]
bn:00004694n	[wn:14628668n, wn2020:14770223n]	antimony	[]
bn:00004694n	[wn:14628668n, wn2020:14770223n]	sb	[]
bn:00028862n	[wn:15042856n, wn2020:15187406n]	slag	[]
bn:00028862n	[wn:15042856n, wn2020:15187406n]	scoria	[]
bn:00028862n	[wn:15042856n, wn2020:15187406n]	dross	[The scum formed by oxidation at the surface of molten metals]
bn:00004740n	[wn2020:13566802n, wn:13432903n]	asepsis	[The process of inhibiting the growth and multiplication of microorganisms]
bn:00004740n	[wn2020:13566802n, wn:13432903n]	antisepsis	[]
bn:00028823n	[wn2020:03280747n, wn:03245889n]	radio-controlled_aircraft	[An aircraft without a pilot that is operated by remote control]
bn:00028823n	[wn2020:03280747n, wn:03245889n]	drone	[]
bn:00028823n	[wn2020:03280747n, wn:03245889n]	pilotless_aircraft	[]
bn:00028868n	[wn:10171567n, wn2020:10283152n]	drover	[Someone who drives a herd]
bn:00028868n	[wn:10171567n, wn2020:10283152n]	herder	[]
bn:00028868n	[wn:10171567n, wn2020:10283152n]	herdsman	[]
bn:00028871n	[wn2020:10147203n, wn:10035809n]	navvy	[]
bn:00028871n	[wn2020:10147203n, wn:10035809n]	galley_slave	[A laborer who is obliged to do menial work]
bn:00028871n	[wn2020:10147203n, wn:10035809n]	drudge	[]
bn:00028871n	[wn2020:10147203n, wn:10035809n]	peon	[]
bn:00003317n	[wn2020:02545110n, wn:02519340n]	ameiurus_melas	[Catfish common in eastern United States]
bn:00003317n	[wn2020:02545110n, wn:02519340n]	hornpout	[]
bn:00003317n	[wn2020:02545110n, wn:02519340n]	pout	[]
bn:00003317n	[wn2020:02545110n, wn:02519340n]	horned_pout	[]
bn:00028874n	[wn:10035952n, wn2020:10147346n]	junkie	[]
bn:00028874n	[wn:10035952n, wn2020:10147346n]	junky	[A narcotics addict]
bn:00028874n	[wn:10035952n, wn2020:10147346n]	drug_addict	[]
bn:00028863n	[wn:14537054n, wn2020:14677981n]	drought	[]
bn:00028863n	[wn:14537054n, wn2020:14677981n]	drouth	[A shortage of rainfall]
bn:00028873n	[wn:00947923n, wn2020:00952291n]	drug_abuse	[]
bn:00028873n	[wn:00947923n, wn2020:00952291n]	habit	[Excessive use of drugs]
bn:00028873n	[wn:00947923n, wn2020:00952291n]	substance_abuse	[]
bn:00029234n	[wn2020:03294287n, wn:03259401n]	dutch_oven	[Iron or earthenware cooking pot; used for stews]
bn:00003320n	[wn:14466344n, wn2020:14606985n]	amelia	[Congenital absence of an arm or leg]
bn:00003322n	[wn2020:00262578n, wn:00261029n]	betterment	[The act of relieving ills and changing for the better]
bn:00003322n	[wn2020:00262578n, wn:00261029n]	amelioration	[]
bn:00003322n	[wn2020:00262578n, wn:00261029n]	melioration	[]
bn:00029242n	[wn:15291801n, wn2020:15438914n]	duty_period	[The time period during which you are at work]
bn:00029242n	[wn:15291801n, wn2020:15438914n]	shift	[]
bn:00029242n	[wn:15291801n, wn2020:15438914n]	work_shift	[]
bn:00029241n	[wn2020:13449261n, wn:13315999n]	duty	[]
bn:00029241n	[wn2020:13449261n, wn:13315999n]	tariff	[A government tax on imports or exports]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	duty_tour	[]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	tour	[A period of time spent in military service]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	term_of_enlistment	[]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	tour_of_duty	[]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	enlistment	[]
bn:00029243n	[wn2020:15440710n, wn:15293590n]	hitch	[]
bn:00002488n	[wn2020:06657329n, wn:06591815n]	record_album	[One or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc]
bn:00002488n	[wn2020:06657329n, wn:06591815n]	album	[]
bn:00029215n	[wn2020:07031429n, wn:06952572n]	dutch	[The West Germanic language of the Netherlands]
bn:00002066n	[wn:09779280n, wn2020:09890182n]	agonist	[Someone involved in a contest or battle (as in an agon)]
bn:00029239n	[wn:01129920n, wn2020:01135210n]	responsibility	[]
bn:00029239n	[wn:01129920n, wn2020:01135210n]	duty	[]
bn:00029239n	[wn:01129920n, wn2020:01135210n]	obligation	[The social force that binds you to the courses of action demanded by that force]
bn:00002064n	[wn2020:02676173n, wn:02647503n]	family_agonidae	[Poachers]
bn:00002064n	[wn2020:02676173n, wn:02647503n]	agonidae	[]
bn:00002067n	[wn:05293268n, wn2020:05346472n]	agonist	[A muscle that contracts while another relaxes]
bn:00002070n	[wn2020:02676705n, wn:02648035n]	agonus_cataphractus	[Northern Atlantic sea poacher]
bn:00002070n	[wn2020:02676705n, wn:02648035n]	armed_bullhead	[]
bn:00002070n	[wn2020:02676705n, wn:02648035n]	pogge	[]
bn:00029248n	[wn2020:00006074n, wn:00005930n]	dwarf	[A plant or animal that is atypically small]
bn:00002068n	[wn:02684789n, wn2020:02714827n]	agonist	[(biochemistry) a drug that can combine with a receptor on a cell to produce a physiological reaction]
bn:00029247n	[wn2020:09653726n, wn:09541125n]	gnome	[]
bn:00029247n	[wn2020:09653726n, wn:09541125n]	dwarf	[A legendary creature resembling a tiny old man; lives in the depths of the earth and guards buried treasure]
bn:00029245n	[wn:04533946n, wn2020:04579534n]	dvd	[A digital recording (as of a movie) on an optical disk that can be played on a computer or a television set]
bn:00029245n	[wn:04533946n, wn2020:04579534n]	videodisk	[]
bn:00029245n	[wn:04533946n, wn2020:04579534n]	videodisc	[]
bn:00002075n	[wn:13706415n, wn2020:13843143n]	agora	[100 agorot equal 1 shekel in Israel]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	gentiana_quinquefolia	[Gentian of eastern North America having clusters of bristly blue flowers]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	stiff_gentian	[]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	gentianella_quinquefolia	[]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	ague_weed	[]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	five-flowered_gentian	[]
bn:00002136n	[wn2020:12422081n, wn:12295796n]	agueweed	[]
bn:00002137n	[wn:11968931n, wn2020:12094158n]	boneset	[]
bn:00002137n	[wn:11968931n, wn2020:12094158n]	agueweed	[]
bn:00002137n	[wn:11968931n, wn2020:12094158n]	thoroughwort	[]
bn:00002137n	[wn:11968931n, wn2020:12094158n]	eupatorium_perfoliatum	[Perennial herb of southeastern United States having white-rayed flower heads; formerly used as in folk medicine]
bn:00029335n	[wn2020:06430570n, wn:06367702n]	dystopia	[A work of fiction describing an imaginary place where life is extremely bad because of deprivation or oppression or terror]
bn:00029334n	[wn2020:14071352n, wn:13932213n]	dystopia	[State in which the conditions of life are extremely bad as from deprivation or oppression or terror]
bn:00029336n	[wn2020:14300193n, wn:14160365n]	muscular_dystrophy	[]
bn:00029336n	[wn2020:14300193n, wn:14160365n]	dystrophy	[Any of several hereditary diseases of the muscular system characterized by weakness and wasting of skeletal muscles]
bn:00002096n	[wn:00916464n, wn2020:00920648n]	agriculture	[]
bn:00002096n	[wn:00916464n, wn2020:00920648n]	husbandry	[The practice of cultivating the land or raising stock]
bn:00002096n	[wn:00916464n, wn2020:00920648n]	farming	[]
bn:00002152n	[wn2020:00849141n, wn:00845352n]	ai	[The introduction of semen into the oviduct or uterus by some means other than sexual intercourse]
bn:00002152n	[wn2020:00849141n, wn:00845352n]	artificial_insemination	[]
bn:00002151n	[wn:02457408n, wn2020:02482454n]	ai	[]
bn:00002151n	[wn:02457408n, wn2020:02482454n]	bradypus_tridactylus	[A sloth that has three long claws on each forefoot and each hindfoot]
bn:00002151n	[wn:02457408n, wn2020:02482454n]	three-toed_sloth	[]
bn:00002156n	[wn:13265904n, wn2020:13398762n]	economic_aid	[]
bn:00002156n	[wn:13265904n, wn2020:13398762n]	financial_aid	[Money to support a worthy person or cause]
bn:00002156n	[wn:13265904n, wn2020:13398762n]	aid	[]
bn:00002165n	[wn2020:07911991n, wn:07818277n]	garlic	[]
bn:00002165n	[wn2020:07911991n, wn:07818277n]	ail	[Aromatic bulb used as seasoning]
bn:00002166n	[wn2020:12844699n, wn:12717072n]	ailanthus	[Any of several deciduous Asian trees of the genus Ailanthus]
bn:00002171n	[wn2020:14195271n, wn:14055408n]	ill	[An often persistent bodily disorder or disease; a cause for complaining]
bn:00002171n	[wn2020:14195271n, wn:14055408n]	ailment	[]
bn:00002171n	[wn2020:14195271n, wn:14055408n]	complaint	[]
bn:00002181n	[wn:08680888n, wn2020:08780771n]	heading	[]
bn:00002181n	[wn:08680888n, wn2020:08780771n]	aim	[The direction or path along which something moves or along which it lies]
bn:00002181n	[wn:08680888n, wn2020:08780771n]	bearing	[]
bn:00002150n	[wn2020:06191614n, wn:06133203n]	ai	[The branch of computer science that deal with writing computer programs that can solve problems creatively]
bn:00002150n	[wn2020:06191614n, wn:06133203n]	artificial_intelligence	[]
bn:00029340n	[wn2020:15237158n, wn:15092409n]	e	[A fat-soluble vitamin that is essential for normal reproduction; an important antioxidant that neutralizes free radicals in the body]
bn:00029340n	[wn2020:15237158n, wn:15092409n]	vitamin_e	[]
bn:00029340n	[wn2020:15237158n, wn:15092409n]	tocopherol	[]
bn:00002185n	[wn:14841267n, wn2020:14983800n]	air	[A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of]
bn:00002190n	[wn2020:14985236n, wn:14842703n]	air	[Once thought to be one of four elements composing the universe (Empedocles)]
bn:00002227n	[wn:09780828n, wn2020:09891730n]	air_force_officer	[]
bn:00002227n	[wn:09780828n, wn2020:09891730n]	commander	[An officer in the airforce]
bn:00002222n	[wn2020:02720996n, wn:02690941n]	air_duct	[]
bn:00002222n	[wn2020:02720996n, wn:02690941n]	airway	[A duct that provides ventilation (as in mines)]
bn:00002222n	[wn2020:02720996n, wn:02690941n]	air_passage	[]
bn:00002232n	[wn2020:11547266n, wn:11423028n]	pocket	[]
bn:00002232n	[wn2020:11547266n, wn:11423028n]	air_hole	[A local region of low pressure or descending air that causes a plane to lose height suddenly]
bn:00002232n	[wn2020:11547266n, wn:11423028n]	air_pocket	[]
bn:00029341n	[wn:13754165n, wn2020:13891162n]	e	[The base of the natural system of logarithms; approximately equal to 2.718282...]
bn:00002237n	[wn:10655875n, wn2020:10767795n]	hostess	[A woman steward on an airplane]
bn:00002237n	[wn:10655875n, wn2020:10767795n]	stewardess	[]
bn:00002237n	[wn:10655875n, wn2020:10767795n]	air_hostess	[]
bn:00002239n	[wn:08492546n, wn2020:08590886n]	skyway	[A designated route followed by airplanes in flying from one airport to another]
bn:00002239n	[wn:08492546n, wn2020:08590886n]	flight_path	[]
bn:00002239n	[wn:08492546n, wn2020:08590886n]	airway	[]
bn:00002239n	[wn:08492546n, wn2020:08590886n]	air_lane	[]
bn:00002216n	[wn2020:11650737n, wn:11525955n]	wind	[]
bn:00002216n	[wn2020:11650737n, wn:11525955n]	air_current	[]
bn:00002216n	[wn2020:11650737n, wn:11525955n]	current_of_air	[Air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure]
bn:00002250n	[wn:08433727n, wn2020:08531305n]	air_power	[The aggregation of a country's military aircraft]
bn:00002250n	[wn:08433727n, wn2020:08531305n]	aviation	[]
bn:00029342n	[wn2020:06899484n, wn:06831605n]	e	[The 5th letter of the Roman alphabet]
bn:00002247n	[wn:08197149n, wn2020:08294072n]	air_national_guard	[]
bn:00002247n	[wn:08197149n, wn2020:08294072n]	ang	[A civilian reserve component of the United States Air Force that provides prompt mobilization during war and assistance during national emergencies]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	nautical_mile	[]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	international_nautical_mile	[]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	air_mile	[A unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	naut_mi	[]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	knot	[]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	mile	[]
bn:00002246n	[wn:13660337n, wn2020:13796811n]	mi	[]
bn:00002259n	[wn:08555569n, wn2020:08654511n]	air_space	[The space in the atmosphere immediately above the earth]
bn:00002259n	[wn:08555569n, wn2020:08654511n]	airspace	[]
bn:00002270n	[wn:02685855n, wn2020:02715893n]	airbrake	[]
bn:00002270n	[wn:02685855n, wn2020:02715893n]	dive_brake	[A small parachute or articulated flap to reduce the speed of an aircraft]
bn:00029305n	[wn:07971582n, wn2020:08066783n]	dynasty	[A sequence of powerful leaders in the same family]
bn:00002260n	[wn2020:02723319n, wn:02693246n]	air_terminal	[]
bn:00002260n	[wn2020:02723319n, wn:02693246n]	airport_terminal	[A terminal that serves air travelers or air freight]
bn:00002271n	[wn:02685701n, wn2020:02715739n]	airbrake	[A vehicular brake that operates by compressed air; especially for heavy vehicles]
bn:00002279n	[wn:09780547n, wn2020:09891449n]	aircraftman	[A noncommissioned officer in the British Royal Air Force]
bn:00002279n	[wn:09780547n, wn2020:09891449n]	aircraftsman	[]
bn:00002272n	[wn:02685995n, wn2020:02716033n]	airbrush	[An atomizer to spray paint by means of compressed air]
bn:00029365n	[wn2020:13730733n, wn:13595968n]	eagle	[(golf) a score of two strokes under par on a hole]
bn:00002286n	[wn2020:02718047n, wn:02687992n]	field	[A place where planes take off and land]
bn:00002286n	[wn2020:02718047n, wn:02687992n]	landing_field	[]
bn:00002286n	[wn2020:02718047n, wn:02687992n]	flying_field	[]
bn:00002286n	[wn2020:02718047n, wn:02687992n]	airfield	[]
bn:00029366n	[wn:13392472n, wn2020:13526263n]	eagle	[A former gold coin in the United States worth 10 dollars]
bn:00029368n	[wn:01498989n, wn2020:01509568n]	eagle_ray	[Powerful free-swimming tropical ray noted for `soaring' by flapping winglike fins; usually harmless but has venomous tissue near base of the tail as in stingrays]
bn:00002289n	[wn:08689357n, wn2020:08789276n]	airhead	[A bridgehead seized by airborne troops]
bn:00029367n	[wn2020:06949661n, wn:06881563n]	eagle	[An emblem representing power]
bn:00002276n	[wn2020:02717210n, wn:02687172n]	attack_aircraft_carrier	[A large warship that carries planes and has a long flat deck for takeoffs and landings]
bn:00002276n	[wn2020:02717210n, wn:02687172n]	carrier	[]
bn:00002276n	[wn2020:02717210n, wn:02687172n]	flattop	[]
bn:00002276n	[wn2020:02717210n, wn:02687172n]	aircraft_carrier	[]
bn:00029390n	[wn:14432875n, wn2020:14573164n]	earldom	[The dignity or rank or position of an earl or countess]
bn:00002300n	[wn2020:06688843n, wn:06622993n]	airmail	[Letters and packages that are transported by aircraft]
bn:00002316n	[wn:05510173n, wn2020:05563801n]	airway	[The passages through which air enters and leaves the body]
bn:00002316n	[wn:05510173n, wn2020:05563801n]	respiratory_tract	[]
bn:00002338n	[wn:12742290n, wn2020:12870189n]	blighia_sapida	[Widely cultivated in tropical and subtropical regions for its fragrant flowers and colorful fruits; introduced in Jamaica by William Bligh]
bn:00002338n	[wn:12742290n, wn2020:12870189n]	akee	[]
bn:00002338n	[wn:12742290n, wn2020:12870189n]	akee_tree	[]
bn:00029381n	[wn2020:05372193n, wn:05318831n]	eardrum	[]
bn:00029381n	[wn2020:05372193n, wn:05318831n]	tympanum	[]
bn:00029381n	[wn2020:05372193n, wn:05318831n]	tympanic_membrane	[]
bn:00029381n	[wn2020:05372193n, wn:05318831n]	myringa	[The membrane in the ear that vibrates to sound]
bn:00002412n	[wn:06803157n, wn2020:06870573n]	alarum	[An automatic signal (usually a sound) warning of danger]
bn:00002412n	[wn:06803157n, wn2020:06870573n]	warning_signal	[]
bn:00002412n	[wn:06803157n, wn2020:06870573n]	alert	[]
bn:00002412n	[wn:06803157n, wn2020:06870573n]	alarm	[]
bn:00029382n	[wn2020:02096953n, wn:02076779n]	eared_seal	[Pinniped mammal having external ear flaps and hind limbs used for locomotion on land; valued for its soft underfur]
bn:00002427n	[wn:09740954n, wn2020:09851692n]	alaskan	[A native or resident of Alaska]
bn:00002441n	[wn2020:07019934n, wn:06942252n]	albanian	[The Indo-European language spoken by the people of Albania]
bn:00029372n	[wn2020:05374259n, wn:05320899n]	ear	[The sense organ for hearing and equilibrium]
bn:00029420n	[wn:03262248n, wn2020:03297152n]	earplug	[An earphone that is inserted into the ear canal]
bn:00029432n	[wn:03860404n, wn2020:03900879n]	jakes	[A small outbuilding with a bench having holes through which a user can defecate]
bn:00029432n	[wn:03860404n, wn2020:03900879n]	earth-closet	[]
bn:00029432n	[wn:03860404n, wn2020:03900879n]	privy	[]
bn:00029432n	[wn:03860404n, wn2020:03900879n]	outhouse	[]
bn:00029459n	[wn2020:05231583n, wn:05179180n]	easement	[(law) the privilege of using something that is not your own (as using another's land as a right of way to your own land)]
bn:00029491n	[wn:13832599n, wn2020:13970124n]	east_southeast	[]
bn:00029491n	[wn:13832599n, wn2020:13970124n]	ese	[The compass point midway between east and southeast]
bn:00029448n	[wn2020:07520203n, wn:07428954n]	earthquake	[]
bn:00029448n	[wn2020:07520203n, wn:07428954n]	seism	[Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity]
bn:00029448n	[wn2020:07520203n, wn:07428954n]	temblor	[]
bn:00029448n	[wn2020:07520203n, wn:07428954n]	quake	[]
bn:00029530n	[wn2020:15277710n, wn:15131994n]	eastern_time	[]
bn:00029530n	[wn2020:15277710n, wn:15131994n]	eastern_standard_time	[]
bn:00029530n	[wn2020:15277710n, wn:15131994n]	est	[Standard time in the 5th time zone west of Greenwich, reckoned at the 75th meridian; used in the eastern United States]
bn:00029546n	[wn2020:00842120n, wn:00838367n]	feeding	[The act of consuming food]
bn:00029546n	[wn2020:00842120n, wn:00838367n]	eating	[]
bn:00029563n	[wn:10349836n, wn2020:10461674n]	ebionite	[A member of a group of Jews who (during the early history of the Christian Church) accepted Jesus as the Messiah; they accepted the Gospel According to Matthew but rejected the Epistles of St. Paul and continued to follow Jewish law and celebrate Jewish holidays; they were later declared heretic by the Church of Rome]
bn:00029563n	[wn:10349836n, wn2020:10461674n]	nazarene	[]
bn:00029559n	[wn:07402147n, wn2020:07493396n]	reflux	[The outward flow of the tide]
bn:00029559n	[wn:07402147n, wn2020:07493396n]	ebb	[]
bn:00029547n	[wn2020:13609702n, wn:13475538n]	wearing_away	[(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)]
bn:00029547n	[wn2020:13609702n, wn:13475538n]	wearing	[]
bn:00029547n	[wn2020:13609702n, wn:13475538n]	eating_away	[]
bn:00029547n	[wn2020:13609702n, wn:13475538n]	eroding	[]
bn:00029547n	[wn2020:13609702n, wn:13475538n]	erosion	[]
bn:00029557n	[wn2020:13766634n, wn:13630864n]	eib	[A unit of information equal to 1024 pebibytes or 2^60 bytes]
bn:00029557n	[wn2020:13766634n, wn:13630864n]	eb	[]
bn:00029557n	[wn2020:13766634n, wn:13630864n]	exbibyte	[]
bn:00029557n	[wn2020:13766634n, wn:13630864n]	exabyte	[]
bn:00002514n	[wn:13840958n, wn2020:13978484n]	interpersonal_chemistry	[]
bn:00002514n	[wn:13840958n, wn2020:13978484n]	chemistry	[]
bn:00002514n	[wn:13840958n, wn2020:13978484n]	alchemy	[The way two individuals relate to each other]
bn:00029568n	[wn2020:12898991n, wn:12770736n]	ebony	[Hard dark-colored heartwood of the ebony tree; used in cabinetwork and for piano keys]
bn:00002517n	[wn:02045024n, wn2020:02065109n]	family_alcidae	[Web-footed diving seabirds of northern seas: auks; puffins; guillemots; murres; etc.]
bn:00002517n	[wn:02045024n, wn2020:02065109n]	alcidae	[]
bn:00031106n	[wn:08551296n, wn2020:08650276n]	exarchate	[A diocese of the Eastern Orthodox Church]
bn:00031106n	[wn:08551296n, wn2020:08650276n]	eparchy	[]
bn:00031119n	[wn2020:02182181n, wn:02161078n]	ephemeral	[Anything short-lived, as an insect that lives only for a day in its winged form]
bn:00031119n	[wn2020:02182181n, wn:02161078n]	ephemeron	[]
bn:00031120n	[wn:05055689n, wn2020:05106523n]	fleetingness	[The property of lasting for a very short time]
bn:00031120n	[wn:05055689n, wn2020:05106523n]	ephemeralness	[]
bn:00031120n	[wn:05055689n, wn2020:05106523n]	ephemerality	[]
bn:00031122n	[wn:02261883n, wn2020:02284368n]	order_ephemerida	[Mayflies]
bn:00031122n	[wn:02261883n, wn2020:02284368n]	ephemerida	[]
bn:00031122n	[wn:02261883n, wn2020:02284368n]	order_ephemeroptera	[]
bn:00031122n	[wn:02261883n, wn2020:02284368n]	ephemeroptera	[]
bn:00002512n	[wn:02432983n, wn2020:02457453n]	european_elk	[]
bn:00002512n	[wn:02432983n, wn2020:02457453n]	elk	[]
bn:00002512n	[wn:02432983n, wn2020:02457453n]	alces_alces	[Large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America]
bn:00002512n	[wn:02432983n, wn2020:02457453n]	moose	[]
bn:00002527n	[wn:09181993n, wn2020:09292523n]	potomania	[An intense persistent desire to drink alcoholic beverages to excess]
bn:00002527n	[wn:09181993n, wn2020:09292523n]	alcoholism	[]
bn:00002527n	[wn:09181993n, wn2020:09292523n]	dipsomania	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	soaker	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	lush	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	souse	[A person who drinks alcohol to excess habitually]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	alky	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	alcoholic	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	boozer	[]
bn:00002526n	[wn2020:09893087n, wn:09782167n]	dipsomaniac	[]
bn:00031125n	[wn:15156746n, wn2020:15302652n]	terrestrial_time	[]
