bn:00014445n	[wn:02933112n, wn2020:02964806n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00046551n	[wn2020:04932616n, wn:04884627n]	indulgence	[]
bn:00046541n	[wn:11468172n, wn2020:11592817n]	inductance	[An electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current]
bn:00046541n	[wn:11468172n, wn2020:11592817n]	induction	[]
bn:00023935n	[wn:03134496n, wn2020:03168245n]	crop	[The stock or handle of a whip]
bn:00023936n	[wn:00368939n, wn2020:00370621n]	spraying	[The dispersion of fungicides or insecticides or fertilizer on growing crops (often from a low-flying aircraft)]
bn:00023936n	[wn:00368939n, wn2020:00370621n]	crop-dusting	[]
bn:00046556n	[wn:14110411n, wn2020:14250275n]	induration	[Any pathological hardening or thickening of tissue]
bn:00046556n	[wn:14110411n, wn2020:14250275n]	sclerosis	[]
bn:00046542n	[wn2020:03606280n, wn:03569014n]	inductance	[An electrical device (typically a conducting coil) that introduces inductance into a circuit]
bn:00046542n	[wn2020:03606280n, wn:03569014n]	inductor	[]
bn:00023938n	[wn:10586444n, wn2020:10698175n]	sharecrop_farmer	[Small farmers and tenants]
bn:00023938n	[wn:10586444n, wn2020:10698175n]	cropper	[]
bn:00023938n	[wn:10586444n, wn2020:10698175n]	sharecropper	[]
bn:00046553n	[wn2020:00095855n, wn:00094500n]	indulgence	[The remission by the pope of the temporal punishment in purgatory that is still due for sins even after absolution]
bn:00023947n	[wn2020:03168901n, wn:03135152n]	cross	[A representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry]
bn:00023957n	[wn:07437575n, wn2020:07528842n]	cross-fertilisation	[Fertilization by the union of male and female gametes from different individual of the same species]
bn:00023957n	[wn:07437575n, wn2020:07528842n]	cross-fertilization	[]
bn:00046568n	[wn:03956922n, wn2020:03998423n]	plant	[]
bn:00046568n	[wn:03956922n, wn2020:03998423n]	industrial_plant	[Buildings for carrying on industrial labor]
bn:00046568n	[wn:03956922n, wn2020:03998423n]	works	[]
bn:00046524n	[wn:06941644n, wn2020:07019277n]	indo-hittite	[The family of languages that by 1000 BC were spoken throughout Europe and in parts of southwestern and southern Asia]
bn:00046524n	[wn:06941644n, wn2020:07019277n]	indo-european_language	[]
bn:00046524n	[wn:06941644n, wn2020:07019277n]	indo-european	[]
bn:00023960n	[wn:06764867n, wn2020:06831920n]	cross-index	[A reference at one place in a work to information at another place in the same work]
bn:00023960n	[wn:06764867n, wn2020:06831920n]	cross-reference	[]
bn:00023962n	[wn:07438792n, wn2020:07530059n]	cross-pollination	[Fertilization by transfer of pollen from the anthers of one flower to the stigma of another]
bn:00046589n	[wn:04839676n, wn2020:04887411n]	inequity	[Injustice by virtue of not conforming with rules or standards]
bn:00046589n	[wn:04839676n, wn2020:04887411n]	unfairness	[]
bn:00046590n	[wn:04805304n, wn2020:04852790n]	inerrancy	[(Christianity) exemption from error]
bn:00023946n	[wn2020:03169281n, wn:03135532n]	cross	[A wooden structure consisting of an upright post with a transverse piece]
bn:00046606n	[wn:09621359n, wn2020:09734905n]	inexperienced_person	[A person who lacks knowledge of evil]
bn:00046606n	[wn:09621359n, wn2020:09734905n]	innocent	[]
bn:00023954n	[wn2020:10838188n, wn:10726031n]	cross-dresser	[Someone who adopts the dress or manner or sexual role of the opposite sex]
bn:00023954n	[wn2020:10838188n, wn:10726031n]	transvestite	[]
bn:00046591n	[wn2020:11593408n, wn:11468763n]	inertia	[(physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force]
bn:00046609n	[wn:14441230n, wn2020:14581627n]	opprobrium	[A state of extreme dishonor]
bn:00046609n	[wn:14441230n, wn2020:14581627n]	infamy	[]
bn:00046594n	[wn:03569293n, wn2020:03606559n]	inertial_navigation_system	[A system to control a plane or spacecraft; uses inertial forces]
bn:00046594n	[wn:03569293n, wn2020:03606559n]	inertial_guidance_system	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	hybridizing	[(genetics) the act of mixing different species or varieties of animals or plants and thus to produce hybrids]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	interbreeding	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	cross	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	crossing	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	crossbreeding	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	hybridisation	[]
bn:00023950n	[wn2020:00854219n, wn:00850425n]	hybridization	[]
bn:00023961n	[wn2020:11561198n, wn:11436929n]	cross-linkage	[A side bond that links two adjacent chains of atoms in a complex molecule]
bn:00023961n	[wn2020:11561198n, wn:11436929n]	cross-link	[]
bn:00023966n	[wn:03137863n, wn2020:03171631n]	cross-stitch	[Two stitches forming a cross or X]
bn:00023981n	[wn2020:03169666n, wn:03135917n]	crossbar	[A horizontal bar that goes across something]
bn:00023982n	[wn:03135788n, wn2020:03169537n]	crossbar	[Game equipment consisting of a horizontal bar to be jumped or vaulted over]
bn:00023976n	[wn2020:08647045n, wn:08548065n]	cross_section	[A section created by a plane cutting a solid perpendicular to its longest axis]
bn:00046576n	[wn2020:00927647n, wn:00923444n]	manufacture	[The organized action of making of goods and services for sale]
bn:00046576n	[wn2020:00927647n, wn:00923444n]	industry	[]
bn:00046614n	[wn2020:10316410n, wn:10204833n]	infanticide	[A person who murders an infant]
bn:00046618n	[wn:14507787n, wn2020:14648607n]	infantilism	[An abnormal condition in which an older child or adult retains infantile characteristics]
bn:00046621n	[wn:07481084n, wn2020:07572982n]	infatuation	[A foolish and usually extravagant passion or love or admiration]
bn:00023949n	[wn2020:01334734n, wn:01327322n]	cross	[(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species]
bn:00023949n	[wn2020:01334734n, wn:01327322n]	crossbreed	[]
bn:00023949n	[wn2020:01334734n, wn:01327322n]	hybrid	[]
bn:00046615n	[wn:01250492n, wn2020:01256309n]	infanticide	[Murdering an infant]
bn:00023983n	[wn2020:03169405n, wn:03135656n]	crossbar	[Long thin horizontal crosspiece between two vertical posts]
bn:00023980n	[wn2020:04476703n, wn:04432043n]	cross_thwart	[A crosspiece spreading the gunnels of a boat; used as a seat in a rowboat]
bn:00023980n	[wn2020:04476703n, wn:04432043n]	thwart	[]
bn:00023984n	[wn2020:04520555n, wn:04475496n]	crosspiece	[A horizontal beam that extends across something]
bn:00023984n	[wn2020:04520555n, wn:04475496n]	crossbeam	[]
bn:00023984n	[wn2020:04520555n, wn:04475496n]	traverse	[]
bn:00023984n	[wn2020:04520555n, wn:04475496n]	trave	[]
bn:00023994n	[wn:04204953n, wn2020:04248625n]	crosscut	[A route shorter than the usual one]
bn:00023994n	[wn:04204953n, wn2020:04248625n]	cutoff	[]
bn:00023994n	[wn:04204953n, wn2020:04248625n]	shortcut	[]
bn:00046624n	[wn:14174549n, wn2020:14314377n]	infection	[The pathological state resulting from the invasion of the body by pathogenic microorganisms]
bn:00024000n	[wn2020:04728112n, wn:04681797n]	hachure	[Shading consisting of multiple crossing lines]
bn:00024000n	[wn2020:04728112n, wn:04681797n]	crosshatch	[]
bn:00024000n	[wn2020:04728112n, wn:04681797n]	hatching	[]
bn:00024000n	[wn2020:04728112n, wn:04681797n]	hatch	[]
bn:00024041n	[wn2020:06939153n, wn:06871127n]	crotchet	[A musical note having the time value of a quarter of a whole note]
bn:00024041n	[wn2020:06939153n, wn:06871127n]	quarter_note	[]
bn:00046627n	[wn:04851421n, wn2020:04899246n]	infection	[Moral corruption or contamination]
bn:00046632n	[wn2020:10316808n, wn:10205231n]	inferior	[One of lesser rank or station or quality]
bn:00046633n	[wn2020:06887769n, wn:06820212n]	inferior	[A character or symbol set or printed or written beneath or slightly below and to the side of another character]
bn:00046633n	[wn2020:06887769n, wn:06820212n]	subscript	[]
bn:00024049n	[wn:02463611n, wn2020:02488657n]	rump	[The part of an animal that corresponds to the human buttocks]
bn:00024049n	[wn:02463611n, wn2020:02488657n]	croupe	[]
bn:00024049n	[wn:02463611n, wn2020:02488657n]	croup	[]
bn:00024049n	[wn:02463611n, wn2020:02488657n]	hindquarters	[]
bn:00046654n	[wn2020:10316921n, wn:10205344n]	infernal	[An inhabitant of Hell]
bn:00046664n	[wn2020:10317291n, wn:10205714n]	infiltrator	[An intruder (as troops) with hostile intent]
bn:00046657n	[wn:14452616n, wn2020:14593031n]	infestation	[The state of being invaded or overrun by parasites]
bn:00024054n	[wn:01579028n, wn2020:01591038n]	crow	[Black birds having a raucous call]
bn:00046712n	[wn2020:04402764n, wn:04358491n]	information_superhighway	[An extensive electronic network (such as the internet) used for the rapid transfer of sound and video and graphics in digital form]
bn:00046712n	[wn2020:04402764n, wn:04358491n]	superhighway	[]
bn:00046702n	[wn:10205985n, wn2020:10317562n]	informant	[]
bn:00046702n	[wn:10205985n, wn2020:10317562n]	source	[A person who supplies information]
bn:00024158n	[wn:07121157n, wn2020:07211953n]	yell	[A loud utterance of emotion (especially when inarticulate)]
bn:00024158n	[wn:07121157n, wn2020:07211953n]	cry	[]
bn:00046704n	[wn:06142118n, wn2020:06200565n]	information_science	[]
bn:00046704n	[wn:06142118n, wn2020:06200565n]	informatics	[]
bn:00046704n	[wn:06142118n, wn2020:06200565n]	information_processing	[]
bn:00046704n	[wn:06142118n, wn2020:06200565n]	ip	[The sciences concerned with gathering, manipulating, storing, retrieving, and classifying recorded information]
bn:00046721n	[wn:00770270n, wn2020:00773808n]	violation	[]
bn:00046721n	[wn:00770270n, wn2020:00773808n]	infraction	[]
bn:00046721n	[wn:00770270n, wn2020:00773808n]	misdemeanour	[]
bn:00046721n	[wn:00770270n, wn2020:00773808n]	misdemeanor	[]
bn:00046721n	[wn:00770270n, wn2020:00773808n]	infringement	[A crime less serious than a felony]
bn:00024148n	[wn2020:09370983n, wn:09260010n]	earth's_crust	[The outer layer of the Earth]
bn:00024148n	[wn2020:09370983n, wn:09260010n]	crust	[]
bn:00024150n	[wn2020:01993893n, wn:01974773n]	crustacean	[Any mainly aquatic arthropod usually having a segmented body and chitinous exoskeleton]
bn:00024166n	[wn:00697614n, wn2020:00700658n]	cryocautery	[Application of a substance that destroys tissue by freezing it]
bn:00024097n	[wn:10628644n, wn2020:10740484n]	monarch	[A nation's ruler or head of state usually by hereditary right]
bn:00024097n	[wn:10628644n, wn2020:10740484n]	crowned_head	[]
bn:00024097n	[wn:10628644n, wn2020:10740484n]	sovereign	[]
bn:00046713n	[wn:06134510n, wn2020:06192921n]	it	[The branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information]
bn:00046713n	[wn:06134510n, wn2020:06192921n]	information_technology	[]
bn:00046740n	[wn2020:10318219n, wn:10206629n]	ingenue	[An actress who specializes in playing the role of an artless innocent young girl]
bn:00046741n	[wn:10206506n, wn2020:10318096n]	ingenue	[An artless innocent young girl (especially as portrayed on the stage)]
bn:00024162n	[wn:00868196n, wn2020:00872075n]	crying	[]
bn:00024162n	[wn:00868196n, wn2020:00872075n]	weeping	[]
bn:00024162n	[wn:00868196n, wn2020:00872075n]	tears	[The process of shedding tears (usually accompanied by sobs or other inarticulate sounds)]
bn:00046745n	[wn2020:07652947n, wn:07560422n]	ingesta	[Solid and liquid nourishment taken into the body through the mouth]
bn:00046729n	[wn:13548531n, wn2020:13682876n]	infrigidation	[The process of cooling or freezing (e.g., food) for preservative purposes]
bn:00046729n	[wn:13548531n, wn2020:13682876n]	refrigeration	[]
bn:00046748n	[wn:00160073n, wn2020:00161509n]	insinuation	[The act of gaining acceptance or affection for yourself by persuasive and subtle blandishments]
bn:00046748n	[wn:00160073n, wn2020:00161509n]	ingratiation	[]
bn:00046723n	[wn:11469481n, wn2020:11594126n]	infrared_radiation	[]
bn:00046723n	[wn:11469481n, wn2020:11594126n]	infrared_light	[]
bn:00046723n	[wn:11469481n, wn2020:11594126n]	infrared	[]
bn:00046723n	[wn:11469481n, wn2020:11594126n]	infrared_emission	[Electromagnetic radiation with wavelengths longer than visible light but shorter than radio waves]
bn:00046759n	[wn2020:03608428n, wn:03571155n]	inhalation	[A medication to be taken by inhaling it]
bn:00046759n	[wn2020:03608428n, wn:03571155n]	inhalant	[]
bn:00046762n	[wn:04080833n, wn2020:04123899n]	inhalator	[A breathing device for administering long-term artificial respiration]
bn:00046762n	[wn:04080833n, wn2020:04123899n]	respirator	[]
bn:00046763n	[wn2020:03608553n, wn:03571280n]	inhalator	[A dispenser that produces a chemical vapor to be inhaled in order to relieve nasal congestion]
bn:00046763n	[wn2020:03608553n, wn:03571280n]	inhaler	[]
bn:00024181n	[wn2020:10092721n, wn:09981540n]	cryptanalyst	[]
bn:00024181n	[wn2020:10092721n, wn:09981540n]	cryptographer	[]
bn:00024181n	[wn2020:10092721n, wn:09981540n]	cryptologist	[Decoder skilled in the analysis of codes and cryptograms]
bn:00024139n	[wn:00968715n, wn2020:00973393n]	crusade	[Any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims]
bn:00046705n	[wn2020:05871500n, wn:05816287n]	information	[Knowledge acquired through study or experience or instruction]
bn:00046779n	[wn:06830997n, wn2020:06898876n]	initial	[The first letter of a word (especially a person's name)]
bn:00024193n	[wn:06355183n, wn2020:06417738n]	cryptograph	[]
bn:00024193n	[wn:06355183n, wn2020:06417738n]	secret_writing	[A piece of writing in code or cipher]
bn:00024193n	[wn:06355183n, wn2020:06417738n]	cryptogram	[]
bn:00046765n	[wn2020:05676708n, wn:05622723n]	inherent_aptitude	[Inborn pattern of behavior often responsive to specific stimuli]
bn:00046765n	[wn2020:05676708n, wn:05622723n]	instinct	[]
bn:00046784n	[wn:10209082n, wn2020:10320654n]	instigator	[]
bn:00046784n	[wn:10209082n, wn2020:10320654n]	initiator	[A person who initiates a course of action]
bn:00024199n	[wn2020:11760971n, wn:11636204n]	japanese_cedar	[]
bn:00024199n	[wn2020:11760971n, wn:11636204n]	japan_cedar	[]
bn:00024199n	[wn2020:11760971n, wn:11636204n]	sugi	[]
bn:00024199n	[wn2020:11760971n, wn:11636204n]	cryptomeria_japonica	[Tall evergreen of Japan and China yielding valuable soft wood]
bn:00046782n	[wn2020:10318477n, wn:10206887n]	learned_person	[]
bn:00046782n	[wn2020:10318477n, wn:10206887n]	initiate	[]
bn:00046782n	[wn2020:10318477n, wn:10206887n]	savant	[Someone who has been admitted to membership in a scholarly field]
bn:00046782n	[wn2020:10318477n, wn:10206887n]	pundit	[]
bn:00024203n	[wn:02136452n, wn2020:02156996n]	fossa	[]
bn:00024203n	[wn:02136452n, wn2020:02156996n]	fossa_cat	[]
bn:00024203n	[wn:02136452n, wn2020:02156996n]	cryptoprocta_ferox	[Largest carnivore of Madagascar; intermediate in some respects between cats and civets]
bn:00046793n	[wn2020:04902214n, wn:04854389n]	unjustness	[The practice of being unjust or unfair]
bn:00046793n	[wn2020:04902214n, wn:04854389n]	injustice	[]
bn:00046797n	[wn:03571625n, wn2020:03608898n]	inkpot	[A bottle of ink]
bn:00046797n	[wn:03571625n, wn2020:03608898n]	ink_bottle	[]
bn:00046788n	[wn2020:03608712n, wn:03571439n]	injector	[A contrivance for injecting (e.g., water into the boiler of a steam engine or particles into an accelerator etc.)]
bn:00046787n	[wn2020:00700409n, wn:00697365n]	shot	[The act of putting a liquid into the body by means of a syringe]
bn:00046787n	[wn2020:00700409n, wn:00697365n]	injection	[]
bn:00024180n	[wn2020:06231772n, wn:06172502n]	cryptology	[The science of analyzing and deciphering codes and ciphers and cryptograms]
bn:00024180n	[wn2020:06231772n, wn:06172502n]	cryptanalysis	[]
bn:00024180n	[wn2020:06231772n, wn:06172502n]	cryptanalytics	[]
bn:00024180n	[wn2020:06231772n, wn:06172502n]	cryptography	[]
bn:00046805n	[wn2020:03609478n, wn:03572205n]	inkstand	[A tray or stand for writing implements and containers for ink]
bn:00046810n	[wn2020:03609904n, wn:03572631n]	inlay	[(dentistry) a filling consisting of a solid substance (as gold or porcelain) fitted to a cavity in a tooth and cemented into place]
bn:00024212n	[wn2020:15022695n, wn:14879750n]	vitreous_silica	[]
bn:00024212n	[wn2020:15022695n, wn:14879750n]	lechatelierite	[]
bn:00024212n	[wn2020:15022695n, wn:14879750n]	crystal	[Colorless glass made of almost pure silica]
bn:00024212n	[wn2020:15022695n, wn:14879750n]	quartz_glass	[]
bn:00024212n	[wn2020:15022695n, wn:14879750n]	quartz	[]
bn:00046808n	[wn:08143486n, wn2020:08240228n]	ir	[A board of the British government that administers and collects major direct taxes]
bn:00046808n	[wn:08143486n, wn2020:08240228n]	inland_revenue	[]
bn:00046804n	[wn2020:03609594n, wn:03572321n]	inkstand	[A small well holding writing ink into which a pen can be dipped]
bn:00046804n	[wn2020:03609594n, wn:03572321n]	inkwell	[]
bn:00046811n	[wn:03572449n, wn2020:03609722n]	inlay	[A decoration made by fitting pieces of wood into prepared slots in a surface]
bn:00046794n	[wn:14917635n, wn2020:15060918n]	ink	[A liquid used for printing or writing or drawing]
bn:00024226n	[wn:05320362n, wn2020:05373724n]	lens	[]
bn:00024226n	[wn:05320362n, wn2020:05373724n]	crystalline_lens	[]
bn:00024226n	[wn:05320362n, wn2020:05373724n]	lens_of_the_eye	[Biconvex transparent body situated behind the iris in the eye; its role (along with the cornea) is to focuses light on the retina]
bn:00024227n	[wn2020:11534518n, wn:11410298n]	crystallization	[]
bn:00024227n	[wn2020:11534518n, wn:11410298n]	crystallisation	[]
bn:00024227n	[wn2020:11534518n, wn:11410298n]	crystallizing	[The formation of crystals]
bn:00046813n	[wn2020:03613980n, wn:03576617n]	intake	[]
bn:00046813n	[wn2020:03613980n, wn:03576617n]	inlet	[An opening through which fluid is admitted to a tube or container]
bn:00046812n	[wn2020:09424698n, wn:09313716n]	recess	[An arm off of a larger body of water (often between rocky headlands)]
bn:00046812n	[wn2020:09424698n, wn:09313716n]	inlet	[]
bn:00024222n	[wn2020:03237402n, wn:03202760n]	diode	[]
bn:00024222n	[wn2020:03237402n, wn:03202760n]	semiconductor_diode	[]
bn:00024222n	[wn2020:03237402n, wn:03202760n]	junction_rectifier	[]
bn:00024222n	[wn2020:03237402n, wn:03202760n]	crystal_rectifier	[A semiconductor that consists of a p-n junction]
bn:00024234n	[wn:01775592n, wn2020:01790902n]	ctenizidae	[]
bn:00024234n	[wn:01775592n, wn2020:01790902n]	family_ctenizidae	[Large burrowing spiders]
bn:00046829n	[wn2020:14129384n, wn:13989627n]	innocence	[A state or condition of being innocent of a specific crime or offense]
bn:00046857n	[wn:08333030n, wn2020:08430453n]	inquisition	[A former tribunal of the Roman Catholic Church (1232-1820) created to discover and suppress heresy]
bn:00046889n	[wn2020:01534487n, wn:01523656n]	percher	[A bird with feet adapted for perching (as on tree branches); this order is now generally abandoned by taxonomists]
bn:00046889n	[wn2020:01534487n, wn:01523656n]	perching_bird	[]
bn:00046889n	[wn2020:01534487n, wn:01523656n]	order_insessores	[]
bn:00046889n	[wn2020:01534487n, wn:01523656n]	insessores	[]
bn:00046892n	[wn2020:08687222n, wn:08588152n]	inside	[]
bn:00046892n	[wn2020:08687222n, wn:08588152n]	interior	[The inner or enclosed surface of something]
bn:00024244n	[wn2020:09982323n, wn:09871229n]	laddie	[]
bn:00024244n	[wn2020:09982323n, wn:09871229n]	sonny	[]
bn:00024244n	[wn2020:09982323n, wn:09871229n]	sonny_boy	[A male child (a familiar term of address to a boy)]
bn:00024244n	[wn2020:09982323n, wn:09871229n]	cub	[]
bn:00024244n	[wn2020:09982323n, wn:09871229n]	lad	[]
bn:00046913n	[wn2020:11634699n, wn:11509968n]	insolation	[Incident solar radiation]
bn:00046920n	[wn2020:00883156n, wn:00879271n]	inspection	[]
bn:00046920n	[wn2020:00883156n, wn:00879271n]	review	[A formal or official examination]
bn:00046919n	[wn2020:10320320n, wn:10208748n]	sleepless_person	[Someone who cannot sleep]
bn:00046919n	[wn2020:10320320n, wn:10208748n]	insomniac	[]
bn:00046916n	[wn:05210373n, wn2020:05263244n]	insolubility	[The quality of being insoluble and difficult to dissolve in liquid]
bn:00024245n	[wn:01322685n, wn2020:01329965n]	cub	[]
bn:00024245n	[wn:01322685n, wn2020:01329965n]	young_carnivore	[The young of certain carnivorous mammals such as the bear or wolf or lion]
bn:00046921n	[wn2020:00269662n, wn:00268112n]	inspection_and_repair	[]
bn:00046921n	[wn2020:00269662n, wn:00268112n]	overhaul	[]
bn:00046921n	[wn2020:00269662n, wn:00268112n]	service	[Periodic maintenance on a car or machine]
bn:00046922n	[wn2020:10320419n, wn:10208847n]	inspector	[A high ranking police officer]
bn:00024243n	[wn2020:10093015n, wn:09981834n]	cub	[]
bn:00024243n	[wn2020:10093015n, wn:09981834n]	greenhorn	[]
bn:00024243n	[wn2020:10093015n, wn:09981834n]	rookie	[An awkward and inexperienced youth]
bn:00046912n	[wn:14204586n, wn2020:14344414n]	thermic_fever	[]
bn:00046912n	[wn:14204586n, wn2020:14344414n]	insolation	[]
bn:00046912n	[wn:14204586n, wn2020:14344414n]	sunstroke	[]
bn:00046912n	[wn:14204586n, wn2020:14344414n]	siriasis	[Sudden prostration due to exposure to the sun or excessive heat]
bn:00046929n	[wn:13500557n, wn2020:13634794n]	inspissation	[The process of thickening by dehydration]
bn:00024263n	[wn:13150378n, wn2020:13281886n]	cubeb	[Spicy fruit of the cubeb vine; when dried and crushed is used medicinally or in perfumery and sometimes smoked in cigarettes]
bn:00046870n	[wn:02159955n, wn2020:02181058n]	insect	[Small air-breathing arthropod]
bn:00046948n	[wn:03574243n, wn2020:03611534n]	instep	[The part of a shoe or stocking that covers the arch of the foot]
bn:00046947n	[wn2020:05630610n, wn:05576950n]	instep	[The arch of the foot]
bn:00024253n	[wn2020:13828742n, wn:13692014n]	cuban_peso	[]
bn:00024253n	[wn2020:13828742n, wn:13692014n]	peso	[The basic unit of money in Cuba; equal to 100 centavos]
bn:00024265n	[wn:03144756n, wn2020:03178575n]	cubeb	[]
bn:00024265n	[wn:03144756n, wn2020:03178575n]	cubeb_cigarette	[A cigarette containing cubeb]
bn:00046942n	[wn:15244650n, wn2020:15391132n]	minute	[]
bn:00046942n	[wn:15244650n, wn2020:15391132n]	moment	[]
bn:00046942n	[wn:15244650n, wn2020:15391132n]	instant	[A particular point in time]
bn:00046942n	[wn:15244650n, wn2020:15391132n]	second	[]
bn:00046918n	[wn:14023374n, wn2020:14163208n]	insomnia	[An inability to sleep; chronic sleeplessness]
bn:00024259n	[wn:13731241n, wn2020:13868068n]	cube	[]
bn:00024259n	[wn:13731241n, wn2020:13868068n]	third_power	[The product of three equal terms]
bn:00024264n	[wn2020:13281686n, wn:13150178n]	piper_cubeba	[Tropical southeast Asian shrubby vine bearing spicy berrylike fruits]
bn:00024264n	[wn2020:13281686n, wn:13150178n]	cubeb	[]
bn:00024264n	[wn2020:13281686n, wn:13150178n]	cubeb_vine	[]
bn:00024264n	[wn2020:13281686n, wn:13150178n]	java_pepper	[]
bn:00046953n	[wn:03574555n, wn2020:03611846n]	institution	[An establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated]
bn:00046954n	[wn2020:05723675n, wn:05669350n]	institution	[A custom that for a long time has been an important feature of some group or society]
bn:00024258n	[wn2020:14055784n, wn:13916721n]	cube	[]
bn:00024258n	[wn2020:14055784n, wn:13916721n]	regular_hexahedron	[A hexahedron with six equal squares as faces]
bn:00024273n	[wn2020:10093194n, wn:09982013n]	cubist	[An artist who adheres to the principles of cubism]
bn:00046961n	[wn:03574816n, wn2020:03612107n]	instrument	[A device that requires skill for proper use]
bn:00024274n	[wn:13653349n, wn2020:13789311n]	cubit	[An ancient unit of length based on the length of the forearm]
bn:00046963n	[wn2020:06544046n, wn:06479665n]	official_document	[]
bn:00046963n	[wn2020:06544046n, wn:06479665n]	legal_instrument	[]
bn:00046963n	[wn2020:06544046n, wn:06479665n]	legal_document	[]
bn:00046963n	[wn2020:06544046n, wn:06479665n]	instrument	[(law) a document that states some contractual relationship or grants some right]
bn:00046981n	[wn:00939818n, wn2020:00944186n]	orchestration	[]
bn:00046981n	[wn:00939818n, wn2020:00944186n]	instrumentation	[The act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments]
bn:00046983n	[wn2020:01184851n, wn:01179393n]	insubordination	[]
bn:00046983n	[wn2020:01184851n, wn:01179393n]	rebelliousness	[An insubordinate act]
bn:00046990n	[wn2020:00830728n, wn:00827010n]	insulation	[The act of protecting something by surrounding it with material that reduces or prevents the transmission of sound or heat or electricity]
bn:00046987n	[wn2020:13634911n, wn:13500674n]	insufflation	[(medicine) blowing air or medicated powder into the lungs (or into some other body cavity)]
bn:00046958n	[wn:10694258n, wn2020:10806251n]	instructor	[A person whose occupation is teaching]
bn:00046958n	[wn:10694258n, wn2020:10806251n]	teacher	[]
bn:00046975n	[wn:10340312n, wn2020:10452147n]	player	[Someone who plays a musical instrument (as a profession)]
bn:00046975n	[wn:10340312n, wn2020:10452147n]	musician	[]
bn:00046975n	[wn:10340312n, wn2020:10452147n]	instrumentalist	[]
bn:00046997n	[wn:06523641n, wn2020:06588566n]	policy	[]
bn:00046997n	[wn:06523641n, wn2020:06588566n]	insurance_policy	[]
bn:00046997n	[wn:06523641n, wn2020:06588566n]	insurance	[Written contract or certificate of insurance]
bn:00046952n	[wn:08407330n, wn2020:08504836n]	institute	[An association organized to promote art or science or education]
bn:00047000n	[wn2020:13434732n, wn:13301620n]	premium	[]
bn:00047000n	[wn2020:13434732n, wn:13301620n]	insurance_premium	[Payment for insurance]
bn:00046965n	[wn:03800933n, wn2020:03841186n]	musical_instrument	[]
bn:00046965n	[wn:03800933n, wn2020:03841186n]	instrument	[Any of various devices or contrivances that can be used to produce musical tones or sounds]
bn:00047001n	[wn2020:10321460n, wn:10209888n]	insured	[]
bn:00047001n	[wn2020:10321460n, wn:10209888n]	insured_person	[A person whose interests are protected by an insurance policy; a person who contracts for an insurance policy that indemnifies him against loss of property or life or health etc.]
bn:00046999n	[wn:08070465n, wn2020:08166826n]	insurance_company	[]
bn:00046999n	[wn:08070465n, wn2020:08166826n]	insurance_firm	[]
bn:00046999n	[wn:08070465n, wn2020:08166826n]	insurer	[]
bn:00046999n	[wn:08070465n, wn2020:08166826n]	insurance_underwriter	[]
bn:00046999n	[wn:08070465n, wn2020:08166826n]	underwriter	[A financial institution that sells insurance]
bn:00024266n	[wn:13624190n, wn2020:13759856n]	cubic_decimeter	[]
bn:00024266n	[wn:13624190n, wn2020:13759856n]	cubic_decimetre	[A metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)]
bn:00024266n	[wn:13624190n, wn2020:13759856n]	liter	[]
bn:00024266n	[wn:13624190n, wn2020:13759856n]	litre	[]
bn:00024266n	[wn:13624190n, wn2020:13759856n]	l	[]
bn:00024278n	[wn:13884930n, wn2020:14023374n]	cuboid	[A rectangular parallelepiped]
bn:00024282n	[wn:09982152n, wn2020:10093333n]	cuckold	[A man whose wife committed adultery]
bn:00046991n	[wn2020:05463838n, wn:05410646n]	insulin	[Hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells]
bn:00024289n	[wn:01822773n, wn2020:01839181n]	cuculidae	[]
bn:00024289n	[wn:01822773n, wn2020:01839181n]	family_cuculidae	[Includes cuckoo; ani; roadrunner]
bn:00046996n	[wn:13344804n, wn2020:13478287n]	insurance	[Promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company]
bn:00024298n	[wn:12164363n, wn2020:12290618n]	cucumis_melo	[Any of several varieties of vine whose fruit has a netted rind and edible flesh and a musky smell]
bn:00024298n	[wn:12164363n, wn2020:12290618n]	sweet_melon	[]
